_ym,topic_id,count
2019-03,-1,2
2019-03,0,9
2019-03,1,1
2019-03,2,3
2019-03,4,3
2019-03,5,1
2019-04,-1,27
2019-04,0,37
2019-04,1,16
2019-04,2,15
2019-04,3,12
2019-04,4,13
2019-04,5,7
2019-04,7,2
2019-04,8,2
2019-05,-1,23
2019-05,0,42
2019-05,1,12
2019-05,2,19
2019-05,3,9
2019-05,4,7
2019-05,5,4
2019-05,6,1
2019-05,7,1
2019-05,8,1
2019-06,-1,13
2019-06,0,45
2019-06,1,20
2019-06,2,15
2019-06,3,6
2019-06,4,3
2019-06,5,3
2019-06,6,2
2019-06,7,1
2019-07,-1,11
2019-07,0,40
2019-07,1,9
2019-07,2,13
2019-07,3,8
2019-07,4,4
2019-07,5,3
2019-07,6,2
2019-08,-1,11
2019-08,0,26
2019-08,1,10
2019-08,2,10
2019-08,3,3
2019-08,4,3
2019-08,5,3
2019-08,6,3
2019-08,7,4
2019-09,-1,25
2019-09,0,36
2019-09,1,44
2019-09,2,26
2019-09,3,16
2019-09,4,17
2019-09,5,4
2019-09,6,3
2019-09,7,2
2019-09,8,1
2019-10,-1,16
2019-10,0,18
2019-10,1,15
2019-10,2,7
2019-10,3,1
2019-10,4,6
2019-10,5,2
2019-10,6,1
2019-10,7,1
2019-11,-1,13
2019-11,0,15
2019-11,1,21
2019-11,2,8
2019-11,3,7
2019-11,4,9
2019-11,5,5
2019-11,6,2
2019-12,-1,19
2019-12,0,20
2019-12,1,35
2019-12,2,10
2019-12,3,8
2019-12,4,3
2019-12,5,3
2019-12,6,1
2019-12,7,1
2020-01,-1,13
2020-01,0,14
2020-01,1,9
2020-01,2,7
2020-01,3,3
2020-01,4,5
2020-01,5,1
2020-01,6,1
2020-01,8,1
2020-02,-1,27
2020-02,0,48
2020-02,1,24
2020-02,2,6
2020-02,3,18
2020-02,4,3
2020-02,5,4
2020-02,6,3
2020-02,7,4
2020-03,-1,22
2020-03,0,17
2020-03,1,10
2020-03,2,3
2020-03,3,5
2020-03,4,3
2020-03,5,2
2020-03,7,3
2020-03,8,1
2020-04,-1,1
2020-04,0,2
2020-04,1,1
2020-04,4,1
2020-05,-1,5
2020-05,0,7
2020-05,1,2
2020-05,2,3
2020-05,3,2
2020-05,4,1
2020-05,6,1
2020-05,7,2
2020-05,8,2
2020-06,-1,5
2020-06,0,3
2020-06,1,10
2020-06,2,6
2020-06,3,7
2020-06,4,1
2020-06,6,1
2020-07,-1,1
2020-07,0,6
2020-07,1,2
2020-07,2,2
2020-07,4,2
2020-08,-1,1
2020-08,0,5
2020-08,2,2
2020-08,4,1
2020-09,-1,6
2020-09,0,9
2020-09,1,8
2020-09,2,3
2020-09,3,2
2020-09,4,3
2020-09,5,1
2020-09,6,2
2020-10,-1,6
2020-10,0,5
2020-10,1,6
2020-10,2,2
2020-10,4,2
2020-10,5,2
2020-10,6,1
2020-10,7,1
2020-10,8,1
2020-11,-1,5
2020-11,0,5
2020-11,1,3
2020-11,2,3
2020-11,3,1
2020-11,4,3
2020-12,-1,3
2020-12,0,1
2020-12,1,2
2021-01,-1,11
2021-01,0,15
2021-01,1,5
2021-01,2,6
2021-01,3,3
2021-01,4,2
2021-01,5,2
2021-01,7,1
2021-01,8,3
2021-02,-1,11
2021-02,0,23
2021-02,1,3
2021-02,2,4
2021-02,3,1
2021-02,4,4
2021-02,5,5
2021-02,6,2
2021-02,7,3
2021-02,8,4
2021-03,-1,10
2021-03,0,24
2021-03,1,1
2021-03,2,5
2021-03,3,2
2021-03,4,2
2021-03,5,2
2021-03,6,3
2021-03,7,1
2021-04,-1,4
2021-04,1,3
2021-04,2,1
2021-04,3,3
2021-04,4,2
2021-04,5,1
2021-05,-1,21
2021-05,0,8
2021-05,1,15
2021-05,2,4
2021-05,3,11
2021-05,4,9
2021-05,6,8
2021-05,7,1
2021-05,8,1
2021-06,-1,10
2021-06,0,17
2021-06,1,5
2021-06,2,10
2021-06,3,3
2021-06,4,4
2021-06,7,1
2021-07,-1,12
2021-07,0,24
2021-07,1,6
2021-07,2,3
2021-07,3,6
2021-07,4,2
2021-07,5,2
2021-07,7,1
2021-07,8,1
2021-08,-1,6
2021-08,0,29
2021-08,1,8
2021-08,2,9
2021-08,3,2
2021-08,4,1
2021-08,6,1
2021-08,7,1
2021-09,-1,1
2021-09,0,1
2021-09,1,1
2021-10,-1,11
2021-10,0,16
2021-10,1,8
2021-10,2,3
2021-10,3,1
2021-10,4,4
2021-10,5,2
2021-10,6,4
2021-11,-1,15
2021-11,0,18
2021-11,1,5
2021-11,2,6
2021-11,3,1
2021-11,4,7
2021-11,7,1
2021-12,-1,4
2021-12,0,1
2021-12,1,1
2021-12,3,1
2021-12,4,1
2022-01,-1,6
2022-01,0,13
2022-01,1,1
2022-01,2,9
2022-01,3,1
2022-01,4,5
2022-01,6,1
